"Index","EA.Open","EA.High","EA.Low","EA.Close","EA.Volume","EA.Adjusted"
"2020-01-02",107.940002,108.349998,106.760002,107.339996,1901000,106.666428
"2020-01-03",105.580002,107.75,105.120003,107.199997,1840300,106.527313
"2020-01-06",106.949997,109.309998,106.629997,108.779999,2934200,108.097404
"2020-01-07",109,109.25,107.730003,108.389999,1692400,107.709854
"2020-01-08",108.18,110,107.779999,109.489998,2651600,108.80294
"2020-01-09",110,110.339996,108.269997,109.360001,1818600,108.673767
"2020-01-10",109.199997,109.269997,108.199997,108.589996,1756000,107.908585
"2020-01-13",109.050003,110.07,108.620003,109.82,1857400,109.130867
"2020-01-14",109.660004,110.169998,108.709999,109.580002,1723400,108.89238
"2020-01-15",109.790001,110.449997,109.139999,109.610001,1479100,108.922195
"2020-01-16",110,111.290001,109.949997,111.260002,2108300,110.561844
"2020-01-17",112.370003,112.989998,111.550003,112.93,3053300,112.221367
"2020-01-21",112.550003,112.970001,111.769997,112.410004,2165000,111.70462
"2020-01-22",112.769997,114.040001,112.68,113.089996,2423100,112.380356
"2020-01-23",112.919998,113.730003,112,113.480003,1564900,112.767914
"2020-01-24",114.019997,114.129997,111.629997,112.330002,2304000,111.625122
"2020-01-27",110.239998,111.190002,109.949997,110.559998,2175500,109.866234
"2020-01-28",111.290001,112.879997,111.059998,111.900002,2961900,111.19783
"2020-01-29",112.510002,112.959999,111.239998,112.209999,2463900,111.505875
"2020-01-30",111.43,111.889999,110.309998,111.639999,3838500,110.939453
"2020-01-31",110.75,110.75,105.5,107.919998,6995800,107.24279
"2020-02-03",107.93,109.449997,104.400002,105.040001,4155500,104.380867
"2020-02-04",106.440002,107.419998,105.330002,107.07,4190500,106.398132
"2020-02-05",108.620003,108.959999,107.120003,107.82,2895700,107.143425
"2020-02-06",108.800003,110.349998,108.410004,110,2500600,109.309738
"2020-02-07",109.169998,110.959999,108.739998,109.089996,2231300,108.405449
"2020-02-10",109.019997,109.760002,108.230003,108.699997,2170800,108.017899
"2020-02-11",108.949997,109.230003,107.940002,109.040001,1195300,108.355766
"2020-02-12",109.669998,109.980003,108.589996,109.720001,1567200,109.031509
"2020-02-13",109.150002,109.339996,107.970001,108.839996,1627000,108.157013
"2020-02-14",108.900002,109.889999,108.75,109.690002,1227500,109.001694
"2020-02-18",109.089996,109.830002,108.699997,109.459999,2171400,108.773125
"2020-02-19",110.099998,110.900002,109.400002,109.779999,1540000,109.091125
"2020-02-20",108.720001,109.370003,107.449997,109.199997,4034000,108.514771
"2020-02-21",108.489998,108.940002,106.800003,108.010002,2546900,107.332245
"2020-02-24",105.050003,107.93,105.019997,107.029999,2817100,106.358376
"2020-02-25",107.720001,109.220001,105.239998,105.379997,3651300,104.718735
"2020-02-26",106.360001,108.260002,105.599998,106.540001,2858000,105.871452
"2020-02-27",104.349998,106.400002,102.720001,102.739998,4906200,102.095299
"2020-02-28",100.290001,101.889999,98.589996,101.370003,6853700,100.733894
"2020-03-02",101.919998,106.93,101.709999,106.889999,4291500,106.219261
"2020-03-03",106.730003,109.709999,105.379997,106.699997,3984800,106.030441
"2020-03-04",108.290001,111.940002,108.059998,111.830002,4289700,111.128265
"2020-03-05",109.489998,111.93,109.110001,110.209999,3029900,109.518417
"2020-03-06",106.449997,108.760002,105,107.669998,3886200,106.994362
"2020-03-09",101.57,104.18,99.910004,100.93,4784300,100.296654
"2020-03-10",101.400002,103.57,96.650002,103.379997,6525600,102.731277
"2020-03-11",101.610001,102.169998,98.330002,101.18,4906000,100.54509
"2020-03-12",94.790001,99.419998,92.550003,93.349998,6288700,92.764214
"2020-03-13",98.739998,99.610001,92.75,97.059998,5842000,96.450943
"2020-03-16",89.190002,96.120003,85.690002,88.669998,6196600,88.113586
"2020-03-17",91.599998,98.199997,87.110001,95.410004,6370100,94.811295
"2020-03-18",91.5,97.690002,85.919998,90.209999,7073400,89.643929
"2020-03-19",90.949997,93.980003,86,90.059998,6549700,89.494865
"2020-03-20",92.239998,94.370003,86.75,86.940002,6174400,86.394447
"2020-03-23",89.730003,97.720001,88.43,95.470001,8149000,94.870926
"2020-03-24",100,103.099998,90.809998,94.300003,5765200,93.708267
"2020-03-25",93.529999,94.150002,89.459999,89.639999,5005600,89.077499
"2020-03-26",90.470001,99.57,90.080002,99.199997,5750300,98.577522
"2020-03-27",96.529999,99.68,94.629997,95.370003,4519800,94.771553
"2020-03-30",96.769997,99.290001,96.169998,97.690002,3352700,97.076996
"2020-03-31",97.790001,101,96.620003,100.169998,3762300,99.541428
"2020-04-01",98.379997,99.839996,96.699997,97.529999,4056500,96.917999
"2020-04-02",98.099998,102.82,97.5,102.290001,3793000,101.648125
"2020-04-03",102.809998,104.349998,100.790001,102.830002,4084300,102.184738
"2020-04-06",105.389999,107.5,104.550003,106.510002,4280200,105.841652
"2020-04-07",107.129997,107.459999,100.110001,106.32,5496100,105.652832
"2020-04-08",106.949997,108.239998,105.25,106.800003,3199600,106.129829
"2020-04-09",106,109.379997,105.059998,105.800003,3717200,105.136101
"2020-04-13",105.650002,109.779999,104.650002,109.300003,2680800,108.614136
"2020-04-14",111.800003,113.019997,110,112.029999,2622800,111.327003
"2020-04-15",110.739998,114.470001,110.209999,113.510002,3100000,112.797722
"2020-04-16",114.75,118.690002,114.529999,118.099998,4020600,117.358917
