REF_DATE,GEO,Products and product groups,UOM,COORDINATE,VALUE
1970-01-01,Canada,All-items,2002=100,2.2,20.2
1970-01-01,Canada,Food,2002=100,2.3,18.5
1970-01-01,Canada,Mortgage interest cost,2002=100,2.85,18.2
1970-01-01,Canada,Transportation,2002=100,2.176,18
1970-01-01,Canada,All-items excluding food,2002=100,2.284,21
1970-01-01,Canada,All-items excluding food and energy,2002=100,2.285,22.3
1970-01-01,Canada,Energy,2002=100,2.288,12.7
1970-01-01,Canada,Goods,2002=100,2.274,21.4
1970-01-01,Canada,Services,2002=100,2.282,18.5
1970-02-01,Canada,All-items,2002=100,2.2,20.2
1970-02-01,Canada,Food,2002=100,2.3,18.6
1970-02-01,Canada,Mortgage interest cost,2002=100,2.85,18.2
1970-02-01,Canada,Transportation,2002=100,2.176,18.1
1970-02-01,Canada,All-items excluding food,2002=100,2.284,21
1970-02-01,Canada,All-items excluding food and energy,2002=100,2.285,22.4
1970-02-01,Canada,Energy,2002=100,2.288,12.7
1970-02-01,Canada,Goods,2002=100,2.274,21.5
1970-02-01,Canada,Services,2002=100,2.282,18.6
1970-03-01,Canada,All-items,2002=100,2.2,20.2
1970-03-01,Canada,Food,2002=100,2.3,18.6
1970-03-01,Canada,Mortgage interest cost,2002=100,2.85,18.2
1970-03-01,Canada,Transportation,2002=100,2.176,18.2
1970-03-01,Canada,All-items excluding food,2002=100,2.284,21.1
1970-03-01,Canada,All-items excluding food and energy,2002=100,2.285,22.5
1970-03-01,Canada,Energy,2002=100,2.288,13
1970-03-01,Canada,Goods,2002=100,2.274,21.5
1970-03-01,Canada,Services,2002=100,2.282,18.7
1970-04-01,Canada,All-items,2002=100,2.2,20.3
1970-04-01,Canada,Food,2002=100,2.3,18.7
1970-04-01,Canada,Mortgage interest cost,2002=100,2.85,18.8
1970-04-01,Canada,Transportation,2002=100,2.176,18.2
1970-04-01,Canada,All-items excluding food,2002=100,2.284,21.2
1970-04-01,Canada,All-items excluding food and energy,2002=100,2.285,22.6
1970-04-01,Canada,Energy,2002=100,2.288,13
1970-04-01,Canada,Goods,2002=100,2.274,21.5
1970-04-01,Canada,Services,2002=100,2.282,18.8
1970-05-01,Canada,All-items,2002=100,2.2,20.3
1970-05-01,Canada,Food,2002=100,2.3,18.6
1970-05-01,Canada,Mortgage interest cost,2002=100,2.85,18.8
1970-05-01,Canada,Transportation,2002=100,2.176,18.2
1970-05-01,Canada,All-items excluding food,2002=100,2.284,21.3
1970-05-01,Canada,All-items excluding food and energy,2002=100,2.285,22.6
1970-05-01,Canada,Energy,2002=100,2.288,13
1970-05-01,Canada,Goods,2002=100,2.274,21.5
1970-05-01,Canada,Services,2002=100,2.282,19
1970-06-01,Canada,All-items,2002=100,2.2,20.3
1970-06-01,Canada,Food,2002=100,2.3,18.6
1970-06-01,Canada,Mortgage interest cost,2002=100,2.85,18.8
1970-06-01,Canada,Transportation,2002=100,2.176,18.3
1970-06-01,Canada,All-items excluding food,2002=100,2.284,21.3
1970-06-01,Canada,All-items excluding food and energy,2002=100,2.285,22.6
1970-06-01,Canada,Energy,2002=100,2.288,13
1970-06-01,Canada,Goods,2002=100,2.274,21.7
1970-06-01,Canada,Services,2002=100,2.282,19
1970-07-01,Canada,All-items,2002=100,2.2,20.5
1970-07-01,Canada,Food,2002=100,2.3,18.7
1970-07-01,Canada,Mortgage interest cost,2002=100,2.85,19.5
1970-07-01,Canada,Transportation,2002=100,2.176,18.4
1970-07-01,Canada,All-items excluding food,2002=100,2.284,21.4
1970-07-01,Canada,All-items excluding food and energy,2002=100,2.285,22.8
1970-07-01,Canada,Energy,2002=100,2.288,13
1970-07-01,Canada,Goods,2002=100,2.274,21.8
1970-07-01,Canada,Services,2002=100,2.282,19
1970-08-01,Canada,All-items,2002=100,2.2,20.5
1970-08-01,Canada,Food,2002=100,2.3,18.8
1970-08-01,Canada,Mortgage interest cost,2002=100,2.85,19.5
1970-08-01,Canada,Transportation,2002=100,2.176,18.4
1970-08-01,Canada,All-items excluding food,2002=100,2.284,21.4
1970-08-01,Canada,All-items excluding food and energy,2002=100,2.285,22.7
1970-08-01,Canada,Energy,2002=100,2.288,13
1970-08-01,Canada,Goods,2002=100,2.274,21.6
1970-08-01,Canada,Services,2002=100,2.282,19.1
1970-09-01,Canada,All-items,2002=100,2.2,20.4
1970-09-01,Canada,Food,2002=100,2.3,18.5
1970-09-01,Canada,Mortgage interest cost,2002=100,2.85,19.5
1970-09-01,Canada,Transportation,2002=100,2.176,18.4
1970-09-01,Canada,All-items excluding food,2002=100,2.284,21.4
1970-09-01,Canada,All-items excluding food and energy,2002=100,2.285,22.8
1970-09-01,Canada,Energy,2002=100,2.288,13
1970-09-01,Canada,Goods,2002=100,2.274,21.5
1970-09-01,Canada,Services,2002=100,2.282,19.1
1970-10-01,Canada,All-items,2002=100,2.2,20.4
1970-10-01,Canada,Food,2002=100,2.3,18.3
1970-10-01,Canada,Mortgage interest cost,2002=100,2.85,20
1970-10-01,Canada,Transportation,2002=100,2.176,18.4
1970-10-01,Canada,All-items excluding food,2002=100,2.284,21.5
1970-10-01,Canada,All-items excluding food and energy,2002=100,2.285,22.9
1970-10-01,Canada,Energy,2002=100,2.288,13
1970-10-01,Canada,Goods,2002=100,2.274,21.5
1970-10-01,Canada,Services,2002=100,2.282,19.3
1970-11-01,Canada,All-items,2002=100,2.2,20.4
1970-11-01,Canada,Food,2002=100,2.3,18.1
1970-11-01,Canada,Mortgage interest cost,2002=100,2.85,20
1970-11-01,Canada,Transportation,2002=100,2.176,18.4
1970-11-01,Canada,All-items excluding food,2002=100,2.284,21.6
1970-11-01,Canada,All-items excluding food and energy,2002=100,2.285,23
1970-11-01,Canada,Energy,2002=100,2.288,13.1
1970-11-01,Canada,Goods,2002=100,2.274,21.4
1970-11-01,Canada,Services,2002=100,2.282,19.3
1970-12-01,Canada,All-items,2002=100,2.2,20.3
1970-12-01,Canada,Food,2002=100,2.3,17.8
1970-12-01,Canada,Mortgage interest cost,2002=100,2.85,20
1970-12-01,Canada,Transportation,2002=100,2.176,18.5
1970-12-01,Canada,All-items excluding food,2002=100,2.284,21.6
1970-12-01,Canada,All-items excluding food and energy,2002=100,2.285,23
1970-12-01,Canada,Energy,2002=100,2.288,13.1
1970-12-01,Canada,Goods,2002=100,2.274,21.3
1970-12-01,Canada,Services,2002=100,2.282,19.4
1971-01-01,Canada,All-items,2002=100,2.2,20.4
1971-01-01,Canada,Food,2002=100,2.3,18
1971-01-01,Canada,Mortgage interest cost,2002=100,2.85,20.6
1971-01-01,Canada,Transportation,2002=100,2.176,18.6
1971-01-01,Canada,All-items excluding food,2002=100,2.284,21.6
1971-01-01,Canada,All-items excluding food and energy,2002=100,2.285,23
1971-01-01,Canada,Energy,2002=100,2.288,13.2
1971-01-01,Canada,Goods,2002=100,2.274,21.3
1971-01-01,Canada,Services,2002=100,2.282,19.5
1971-02-01,Canada,All-items,2002=100,2.2,20.5
1971-02-01,Canada,Food,2002=100,2.3,18.1
1971-02-01,Canada,Mortgage interest cost,2002=100,2.85,20.6
1971-02-01,Canada,Transportation,2002=100,2.176,18.8
1971-02-01,Canada,All-items excluding food,2002=100,2.284,21.7
1971-02-01,Canada,All-items excluding food and energy,2002=100,2.285,23.1
1971-02-01,Canada,Energy,2002=100,2.288,13.3
1971-02-01,Canada,Goods,2002=100,2.274,21.4
1971-02-01,Canada,Services,2002=100,2.282,19.6
1971-03-01,Canada,All-items,2002=100,2.2,20.5
1971-03-01,Canada,Food,2002=100,2.3,18.2
1971-03-01,Canada,Mortgage interest cost,2002=100,2.85,20.6
1971-03-01,Canada,Transportation,2002=100,2.176,19
1971-03-01,Canada,All-items excluding food,2002=100,2.284,21.8
1971-03-01,Canada,All-items excluding food and energy,2002=100,2.285,23.2
1971-03-01,Canada,Energy,2002=100,2.288,13.3
1971-03-01,Canada,Goods,2002=100,2.274,21.5
1971-03-01,Canada,Services,2002=100,2.282,19.6
1971-04-01,Canada,All-items,2002=100,2.2,20.7
1971-04-01,Canada,Food,2002=100,2.3,18.4
1971-04-01,Canada,Mortgage interest cost,2002=100,2.85,21.3
1971-04-01,Canada,Transportation,2002=100,2.176,19
1971-04-01,Canada,All-items excluding food,2002=100,2.284,22
1971-04-01,Canada,All-items excluding food and energy,2002=100,2.285,23.2
1971-04-01,Canada,Energy,2002=100,2.288,13.7
1971-04-01,Canada,Goods,2002=100,2.274,21.8
1971-04-01,Canada,Services,2002=100,2.282,19.8
1971-05-01,Canada,All-items,2002=100,2.2,20.7
1971-05-01,Canada,Food,2002=100,2.3,18.5
1971-05-01,Canada,Mortgage interest cost,2002=100,2.85,21.3
1971-05-01,Canada,Transportation,2002=100,2.176,19
1971-05-01,Canada,All-items excluding food,2002=100,2.284,22
1971-05-01,Canada,All-items excluding food and energy,2002=100,2.285,23.4
1971-05-01,Canada,Energy,2002=100,2.288,13.7
1971-05-01,Canada,Goods,2002=100,2.274,21.9
1971-05-01,Canada,Services,2002=100,2.282,19.8
1971-06-01,Canada,All-items,2002=100,2.2,20.8
1971-06-01,Canada,Food,2002=100,2.3,18.6
1971-06-01,Canada,Mortgage interest cost,2002=100,2.85,21.3
1971-06-01,Canada,Transportation,2002=100,2.176,19.1
1971-06-01,Canada,All-items excluding food,2002=100,2.284,22
1971-06-01,Canada,All-items excluding food and energy,2002=100,2.285,23.4
1971-06-01,Canada,Energy,2002=100,2.288,13.7
1971-06-01,Canada,Goods,2002=100,2.274,22
1971-06-01,Canada,Services,2002=100,2.282,19.8
1971-07-01,Canada,All-items,2002=100,2.2,21
1971-07-01,Canada,Food,2002=100,2.3,19
1971-07-01,Canada,Mortgage interest cost,2002=100,2.85,21.8
1971-07-01,Canada,Transportation,2002=100,2.176,19.1
1971-07-01,Canada,All-items excluding food,2002=100,2.284,22
1971-07-01,Canada,All-items excluding food and energy,2002=100,2.285,23.4
1971-07-01,Canada,Energy,2002=100,2.288,13.7
1971-07-01,Canada,Goods,2002=100,2.274,22.1
1971-07-01,Canada,Services,2002=100,2.282,19.9
1971-08-01,Canada,All-items,2002=100,2.2,21.2
1971-08-01,Canada,Food,2002=100,2.3,19.4
1971-08-01,Canada,Mortgage interest cost,2002=100,2.85,21.8
1971-08-01,Canada,Transportation,2002=100,2.176,19.1
1971-08-01,Canada,All-items excluding food,2002=100,2.284,22.1
1971-08-01,Canada,All-items excluding food and energy,2002=100,2.285,23.5
1971-08-01,Canada,Energy,2002=100,2.288,13.7
