TSE_stat,date,UOM,UOM_ID,COORDINATE,VALUE,TERMINATED
"S&P/TSE Composite Index, close",1970-01-01,"Index, 2000=1000",176,1.3,980.23,NA
"S&P/TSE Composite Index, close",1970-02-01,"Index, 2000=1000",176,1.3,1006.4,NA
"S&P/TSE Composite Index, close",1970-03-01,"Index, 2000=1000",176,1.3,1006.06,NA
"S&P/TSE Composite Index, close",1970-04-01,"Index, 2000=1000",176,1.3,917.72,NA
"S&P/TSE Composite Index, close",1970-05-01,"Index, 2000=1000",176,1.3,828.21,NA
"S&P/TSE Composite Index, close",1970-06-01,"Index, 2000=1000",176,1.3,810.78,NA
"S&P/TSE Composite Index, close",1970-07-01,"Index, 2000=1000",176,1.3,847.78,NA
"S&P/TSE Composite Index, close",1970-08-01,"Index, 2000=1000",176,1.3,869.99,NA
"S&P/TSE Composite Index, close",1970-09-01,"Index, 2000=1000",176,1.3,909.19,NA
"S&P/TSE Composite Index, close",1970-10-01,"Index, 2000=1000",176,1.3,883.67,NA
"S&P/TSE Composite Index, close",1970-11-01,"Index, 2000=1000",176,1.3,922.19,NA
"S&P/TSE Composite Index, close",1970-12-01,"Index, 2000=1000",176,1.3,947.54,NA
"S&P/TSE Composite Index, close",1971-01-01,"Index, 2000=1000",176,1.3,975.13,NA
"S&P/TSE Composite Index, close",1971-02-01,"Index, 2000=1000",176,1.3,974.5,NA
"S&P/TSE Composite Index, close",1971-03-01,"Index, 2000=1000",176,1.3,1000.73,NA
"S&P/TSE Composite Index, close",1971-04-01,"Index, 2000=1000",176,1.3,1017,NA
"S&P/TSE Composite Index, close",1971-05-01,"Index, 2000=1000",176,1.3,973.05,NA
"S&P/TSE Composite Index, close",1971-06-01,"Index, 2000=1000",176,1.3,986.85,NA
"S&P/TSE Composite Index, close",1971-07-01,"Index, 2000=1000",176,1.3,983.49,NA
"S&P/TSE Composite Index, close",1971-08-01,"Index, 2000=1000",176,1.3,976.33,NA
"S&P/TSE Composite Index, close",1971-09-01,"Index, 2000=1000",176,1.3,961.97,NA
"S&P/TSE Composite Index, close",1971-10-01,"Index, 2000=1000",176,1.3,881.41,NA
"S&P/TSE Composite Index, close",1971-11-01,"Index, 2000=1000",176,1.3,885.54,NA
"S&P/TSE Composite Index, close",1971-12-01,"Index, 2000=1000",176,1.3,990.54,NA
"S&P/TSE Composite Index, close",1972-01-01,"Index, 2000=1000",176,1.3,1078.92,NA
"S&P/TSE Composite Index, close",1972-02-01,"Index, 2000=1000",176,1.3,1114.89,NA
"S&P/TSE Composite Index, close",1972-03-01,"Index, 2000=1000",176,1.3,1087.72,NA
"S&P/TSE Composite Index, close",1972-04-01,"Index, 2000=1000",176,1.3,1099.12,NA
"S&P/TSE Composite Index, close",1972-05-01,"Index, 2000=1000",176,1.3,1129.41,NA
"S&P/TSE Composite Index, close",1972-06-01,"Index, 2000=1000",176,1.3,1104.29,NA
"S&P/TSE Composite Index, close",1972-07-01,"Index, 2000=1000",176,1.3,1129.86,NA
"S&P/TSE Composite Index, close",1972-08-01,"Index, 2000=1000",176,1.3,1189.29,NA
"S&P/TSE Composite Index, close",1972-09-01,"Index, 2000=1000",176,1.3,1167.44,NA
"S&P/TSE Composite Index, close",1972-10-01,"Index, 2000=1000",176,1.3,1136.74,NA
"S&P/TSE Composite Index, close",1972-11-01,"Index, 2000=1000",176,1.3,1186.74,NA
"S&P/TSE Composite Index, close",1972-12-01,"Index, 2000=1000",176,1.3,1226.58,NA
"S&P/TSE Composite Index, close",1973-01-01,"Index, 2000=1000",176,1.3,1246.82,NA
"S&P/TSE Composite Index, close",1973-02-01,"Index, 2000=1000",176,1.3,1250.03,NA
"S&P/TSE Composite Index, close",1973-03-01,"Index, 2000=1000",176,1.3,1239.14,NA
"S&P/TSE Composite Index, close",1973-04-01,"Index, 2000=1000",176,1.3,1198.19,NA
"S&P/TSE Composite Index, close",1973-05-01,"Index, 2000=1000",176,1.3,1153.39,NA
"S&P/TSE Composite Index, close",1973-06-01,"Index, 2000=1000",176,1.3,1149,NA
"S&P/TSE Composite Index, close",1973-07-01,"Index, 2000=1000",176,1.3,1226.4,NA
"S&P/TSE Composite Index, close",1973-08-01,"Index, 2000=1000",176,1.3,1196,NA
"S&P/TSE Composite Index, close",1973-09-01,"Index, 2000=1000",176,1.3,1250.38,NA
"S&P/TSE Composite Index, close",1973-10-01,"Index, 2000=1000",176,1.3,1319.26,NA
"S&P/TSE Composite Index, close",1973-11-01,"Index, 2000=1000",176,1.3,1182.57,NA
"S&P/TSE Composite Index, close",1973-12-01,"Index, 2000=1000",176,1.3,1187.78,NA
"S&P/TSE Composite Index, close",1974-01-01,"Index, 2000=1000",176,1.3,1196.44,NA
"S&P/TSE Composite Index, close",1974-02-01,"Index, 2000=1000",176,1.3,1241.78,NA
"S&P/TSE Composite Index, close",1974-03-01,"Index, 2000=1000",176,1.3,1214.88,NA
"S&P/TSE Composite Index, close",1974-04-01,"Index, 2000=1000",176,1.3,1099.92,NA
"S&P/TSE Composite Index, close",1974-05-01,"Index, 2000=1000",176,1.3,1031.74,NA
