date,TSE_stat,UOM,UOM_ID,COORDINATE,VALUE,TERMINATED
1970-01-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,980.23,NA
1970-01-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,993.92,TRUE
1970-01-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1388,TRUE
1970-01-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,999.26,TRUE
1970-01-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,1107.09,TRUE
1970-01-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,929.71,TRUE
1970-01-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,703.29,TRUE
1970-01-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,469.73,TRUE
1970-01-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,3.37,TRUE
1970-01-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,15.69,TRUE
1970-02-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,1006.4,NA
1970-02-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,965.13,TRUE
1970-02-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1485.25,TRUE
1970-02-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1002.8,TRUE
1970-02-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,1147.11,TRUE
1970-02-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,892.84,TRUE
1970-02-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,745.53,TRUE
1970-02-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,461.88,TRUE
1970-02-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,3.3,TRUE
1970-02-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,16.47,TRUE
1970-03-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,1006.06,NA
1970-03-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,941.09,TRUE
1970-03-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1482.77,TRUE
1970-03-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1031.67,TRUE
1970-03-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,1169.91,TRUE
1970-03-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,871.23,TRUE
1970-03-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,718.91,TRUE
1970-03-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,531.04,TRUE
1970-03-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,3.31,TRUE
1970-03-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,16.49,TRUE
1970-04-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,917.72,NA
1970-04-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,770.44,TRUE
1970-04-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1325.49,TRUE
1970-04-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1006.72,TRUE
1970-04-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,1063.54,TRUE
1970-04-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,781.97,TRUE
1970-04-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,690.74,TRUE
1970-04-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,460.13,TRUE
1970-04-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,3.65,TRUE
1970-04-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,15.03,TRUE
1970-05-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,828.21,NA
1970-05-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,666.61,TRUE
1970-05-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1203.97,TRUE
1970-05-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,958.87,TRUE
1970-05-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,919.8,TRUE
1970-05-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,687.27,TRUE
1970-05-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,632.27,TRUE
1970-05-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,427.48,TRUE
1970-05-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,4.04,TRUE
1970-05-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,13.46,TRUE
1970-06-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,810.78,NA
1970-06-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,647.93,TRUE
1970-06-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1157.3,TRUE
1970-06-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,995.11,TRUE
1970-06-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,805.72,TRUE
1970-06-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,681.79,TRUE
1970-06-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,639.63,TRUE
1970-06-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,467.05,TRUE
1970-06-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,4.13,TRUE
1970-06-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,13.18,TRUE
1970-07-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,847.78,NA
1970-07-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,774.35,TRUE
1970-07-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1172.89,TRUE
1970-07-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1023.91,TRUE
1970-07-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,857.43,TRUE
1970-07-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,713.81,TRUE
1970-07-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,652.01,TRUE
1970-07-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,454.09,TRUE
1970-07-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,3.97,TRUE
1970-07-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,13.82,TRUE
1970-08-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,869.99,NA
1970-08-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,820.3,TRUE
1970-08-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1194.43,TRUE
1970-08-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1029.83,TRUE
1970-08-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,863.44,TRUE
1970-08-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,728.41,TRUE
1970-08-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,680.3,TRUE
1970-08-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,484.04,TRUE
1970-08-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,3.87,TRUE
1970-08-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,14.19,TRUE
1970-09-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,909.19,NA
1970-09-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,913.37,TRUE
1970-09-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1235.43,TRUE
1970-09-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1088.05,TRUE
1970-09-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,848.53,TRUE
1970-09-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,747.29,TRUE
1970-09-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,688.45,TRUE
1970-09-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,467.04,TRUE
1970-09-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,3.69,TRUE
1970-09-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,14.85,TRUE
1970-10-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,883.67,NA
1970-10-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,881.05,TRUE
1970-10-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1204.17,TRUE
1970-10-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1063.87,TRUE
1970-10-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,790.83,TRUE
1970-10-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,740.17,TRUE
1970-10-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,669.04,TRUE
1970-10-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,524.98,TRUE
1970-10-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,3.74,TRUE
1970-10-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,14.44,TRUE
1970-11-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,922.19,NA
1970-11-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,955.03,TRUE
1970-11-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1250.81,TRUE
1970-11-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1133.61,TRUE
1970-11-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,811.38,TRUE
1970-11-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,742.74,TRUE
1970-11-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,697.29,TRUE
1970-11-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,527.33,TRUE
1970-11-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,3.58,TRUE
1970-11-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,14.72,TRUE
1970-12-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,947.54,NA
1970-12-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,949.89,TRUE
1970-12-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1257.37,TRUE
1970-12-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1159.92,TRUE
1970-12-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,907.15,TRUE
1970-12-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,773.91,TRUE
1970-12-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,703.21,TRUE
1970-12-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,467.53,TRUE
1970-12-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,3.5,TRUE
1970-12-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,15.37,TRUE
1971-01-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,975.13,NA
1971-01-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,968.49,TRUE
1971-01-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1303.04,TRUE
1971-01-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1169.91,TRUE
1971-01-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,914.68,TRUE
1971-01-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,830.17,TRUE
