Date,Users,Sessions
2020-01-01,2070,2328
2020-01-02,2216,2478
2020-01-03,2285,2561
2020-01-04,2210,2525
2020-01-05,2331,2622
2020-01-06,2585,2899
2020-01-07,4323,4790
2020-01-08,3927,4356
2020-01-09,4122,4537
2020-01-10,4374,4820
2020-01-11,4794,5258
2020-01-12,4749,5278
2020-01-13,3972,4435
2020-01-14,4035,4469
2020-01-15,4351,4779
2020-01-16,4377,4859
2020-01-17,5455,5915
2020-01-18,5227,5688
2020-01-19,4698,5150
2020-01-20,4339,4797
2020-01-21,4231,4691
2020-01-22,10264,11046
2020-01-23,12250,12989
2020-01-24,6380,6844
2020-01-25,7302,7827
2020-01-26,6602,7118
2020-01-27,5273,5725
2020-01-28,4842,5224
2020-01-29,4108,4510
2020-01-30,3672,4054
2020-01-31,4159,4584
2020-02-01,4474,4924
2020-02-02,4550,5014
2020-02-03,3980,4314
2020-02-04,3792,4122
2020-02-05,3762,4127
2020-02-06,3394,3728
2020-02-07,3689,4025
2020-02-08,4091,4471
2020-02-09,4265,4610
2020-02-10,5075,5462
2020-02-11,6982,7446
2020-02-12,4690,5118
2020-02-13,4180,4575
2020-02-14,4001,4382
2020-02-15,4357,4818
2020-02-16,4497,4943
2020-02-17,3888,4255
2020-02-18,6060,6894
2020-02-19,8200,9139
2020-02-20,5678,6222
2020-02-21,5128,5642
2020-02-22,5302,5846
2020-02-23,5311,5849
2020-02-24,4828,5310
2020-02-25,17886,20508
2020-02-26,20700,22509
2020-02-27,14767,16056
2020-02-28,10008,10791
2020-02-29,14199,15743
2020-03-01,13188,14950
2020-03-02,8280,9089
2020-03-03,6451,7090
2020-03-04,4669,5156
2020-03-05,4378,4823
2020-03-06,4320,4722
2020-03-07,4768,5276
2020-03-08,5127,5626
2020-03-09,4018,4429
2020-03-10,3713,4097
2020-03-11,3493,3893
2020-03-12,3392,3720
2020-03-13,3455,3784
2020-03-14,4188,4584
2020-03-15,4357,4768
2020-03-16,3553,3856
2020-03-17,3880,4215
2020-03-18,3799,4117
2020-03-19,3633,3933
2020-03-20,3755,4068
2020-03-21,4283,4627
2020-03-22,4512,4911
2020-03-23,3767,4077
2020-03-24,3979,4288
2020-03-25,3726,4058
2020-03-26,3796,4069
2020-03-27,4061,4352
2020-03-28,4503,4806
2020-03-29,4560,4910
2020-03-30,3915,4215
2020-03-31,4540,4898
2020-04-01,4233,4545
2020-04-02,3984,4290
2020-04-03,4253,4625
2020-04-04,4793,5207
2020-04-05,4662,5071
2020-04-06,4243,4613
2020-04-07,4090,4435
2020-04-08,4211,4521
2020-04-09,5661,6142
2020-04-10,4732,5097
2020-04-11,4884,5301
2020-04-12,5154,5595
2020-04-13,4802,5250
2020-04-14,9780,11927
2020-04-15,5309,5793
2020-04-16,4481,4818
2020-04-17,4739,5121
2020-04-18,4878,5284
2020-04-19,4785,5188
2020-04-20,4293,4638
2020-04-21,4284,4598
2020-04-22,4002,4292
2020-04-23,3835,4121
2020-04-24,3953,4228
2020-04-25,4125,4435
2020-04-26,4034,4295
2020-04-27,3830,4118
2020-04-28,3812,4155
2020-04-29,3961,4264
2020-04-30,3903,4212
2020-05-01,4043,4344
2020-05-02,4226,4571
2020-05-03,3910,4227
2020-05-04,3630,3884
2020-05-05,3737,4023
2020-05-06,3933,4253
2020-05-07,3770,4010
2020-05-08,3749,4002
2020-05-09,4086,4390
2020-05-10,3990,4280
2020-05-11,3671,3933
2020-05-12,3889,4130
2020-05-13,6153,7056
2020-05-14,4078,4392
2020-05-15,4410,4747
2020-05-16,4441,4754
2020-05-17,4077,4340
2020-05-18,3718,3964
2020-05-19,3726,3991
2020-05-20,3569,3809
2020-05-21,3645,3919
2020-05-22,3788,4047
2020-05-23,4146,4445
2020-05-24,4360,4704
2020-05-25,4200,4488
2020-05-26,3899,4225
2020-05-27,3691,3944
2020-05-28,3476,3684
2020-05-29,3208,3421
2020-05-30,3548,3828
2020-05-31,3569,3837
2020-06-01,3101,3344
2020-06-02,2788,3028
2020-06-03,2919,3156
2020-06-04,2791,2980
2020-06-05,2935,3131
2020-06-06,3430,3666
2020-06-07,3396,3631
2020-06-08,2818,3055
2020-06-09,2986,3197
2020-06-10,2913,3154
2020-06-11,2951,3173
2020-06-12,3069,3306
2020-06-13,3175,3406
2020-06-14,3351,3587
2020-06-15,3224,3417
2020-06-16,3764,4033
2020-06-17,3262,3504
2020-06-18,3260,3468
2020-06-19,3435,3677
2020-06-20,3191,3407
2020-06-21,3159,3375
2020-06-22,2895,3058
2020-06-23,2876,3064
2020-06-24,2750,2933
2020-06-25,2720,2907
2020-06-26,2472,2621
2020-06-27,2791,2968
2020-06-28,2861,3031
2020-06-29,2615,2810
2020-06-30,2648,2831
2020-07-01,2498,2675
2020-07-02,2347,2497
2020-07-03,2485,2674
2020-07-04,2515,2677
2020-07-05,2637,2797
2020-07-06,2392,2547
2020-07-07,2434,2604
2020-07-08,2529,2698
2020-07-09,2483,2629
2020-07-10,2624,2809
2020-07-11,2949,3171
2020-07-12,2962,3151
2020-07-13,2789,3002
2020-07-14,2772,2939
2020-07-15,2781,2954
2020-07-16,2508,2676
2020-07-17,2424,2570
2020-07-18,2739,2931
2020-07-19,2751,2936
2020-07-20,2618,2765
2020-07-21,2730,2913
2020-07-22,2843,3030
2020-07-23,2868,3016
