Date,Channel,Users,Sessions
2020-01-01,Organic Search,1296,1451
2020-01-01,Direct,346,380
2020-01-01,Owned Social,324,364
2020-01-01,Earned Referral,62,77
2020-01-01,Owned Email,42,56
2020-01-02,Organic Search,1445,1658
2020-01-02,Direct,406,420
2020-01-02,Owned Social,266,290
2020-01-02,Earned Referral,72,81
2020-01-02,Owned Email,27,29
2020-01-03,Organic Search,1426,1590
2020-01-03,Direct,448,492
2020-01-03,Owned Social,292,331
2020-01-03,Earned Referral,71,87
2020-01-03,Owned Email,48,61
2020-01-04,Organic Search,1397,1608
2020-01-04,Direct,418,464
2020-01-04,Owned Social,300,335
2020-01-04,Earned Referral,58,67
2020-01-04,Owned Email,37,51
2020-01-05,Organic Search,1513,1714
2020-01-05,Direct,418,442
2020-01-05,Owned Social,307,346
2020-01-05,Earned Referral,65,79
2020-01-05,Owned Email,28,41
2020-01-06,Organic Search,1631,1843
2020-01-06,Direct,549,598
2020-01-06,Owned Social,280,311
2020-01-06,Earned Referral,83,95
2020-01-06,Owned Email,42,52
2020-01-07,Organic Search,2714,3019
2020-01-07,Direct,834,887
2020-01-07,Owned Social,525,593
2020-01-07,Earned Referral,186,209
2020-01-07,Owned Email,64,82
2020-01-08,Organic Search,2467,2764
2020-01-08,Direct,746,812
2020-01-08,Owned Social,472,511
2020-01-08,Earned Referral,173,189
2020-01-08,Owned Email,69,80
2020-01-09,Organic Search,2605,2878
2020-01-09,Direct,896,968
2020-01-09,Owned Social,419,463
2020-01-09,Earned Referral,159,176
2020-01-09,Owned Email,43,52
2020-01-10,Organic Search,2712,3002
2020-01-10,Direct,985,1053
2020-01-10,Owned Social,478,536
2020-01-10,Earned Referral,163,189
2020-01-10,Owned Email,36,40
2020-01-11,Organic Search,3079,3418
2020-01-11,Direct,947,999
2020-01-11,Owned Social,554,608
2020-01-11,Earned Referral,164,179
2020-01-11,Owned Email,50,54
2020-01-12,Organic Search,3125,3514
2020-01-12,Direct,991,1047
